id	facility_id	unit_id	process_id	work_hour	created_at	updated_at
1	2	2	1	8	2023-11-23 03:53:40.907082 +00:00	1700711620
2	2	2	2	8	2023-11-23 03:53:40.909957 +00:00	1700711620
3	2	2	3	8	2023-11-23 03:53:40.911539 +00:00	1700711620
4	2	2	4	8	2023-11-23 03:53:40.913254 +00:00	1700711620
5	2	2	5	8	2023-11-23 03:53:40.914924 +00:00	1700711620
6	2	2	6	8	2023-11-23 03:53:40.916404 +00:00	1700711620
7	2	2	7	8	2023-11-23 03:53:40.917962 +00:00	1700711620
8	2	2	8	8	2023-11-23 03:53:40.919379 +00:00	1700711620
9	2	2	9	8	2023-11-23 03:53:40.921219 +00:00	1700711620
10	2	2	10	8	2023-11-23 03:53:40.922965 +00:00	1700711620
11	2	2	11	8	2023-11-23 03:53:40.924599 +00:00	1700711620
12	2	2	12	8	2023-11-23 03:53:40.926261 +00:00	1700711620
13	2	2	13	8	2023-11-23 03:53:40.927782 +00:00	1700711620
14	2	2	14	8	2023-11-23 03:53:40.929703 +00:00	1700711620
15	2	2	15	8	2023-11-23 03:53:40.931406 +00:00	1700711620
16	2	2	16	8	2023-11-23 03:53:40.932944 +00:00	1700711620
17	2	2	17	8	2023-11-23 03:53:40.934588 +00:00	1700711620
18	2	2	18	8	2023-11-23 03:53:40.936735 +00:00	1700711620
19	2	2	19	8	2023-11-23 03:53:40.938419 +00:00	1700711620
20	3	3	1	8	2023-11-23 04:04:08.496705 +00:00	1700712248
21	3	3	2	8	2023-11-23 04:04:08.498566 +00:00	1700712248
22	3	3	3	8	2023-11-23 04:04:08.500021 +00:00	1700712248
23	3	3	4	8	2023-11-23 04:04:08.501374 +00:00	1700712248
24	3	3	5	8	2023-11-23 04:04:08.502764 +00:00	1700712248
25	3	3	6	8	2023-11-23 04:04:08.504167 +00:00	1700712248
26	3	3	7	8	2023-11-23 04:04:08.505610 +00:00	1700712248
27	3	3	8	8	2023-11-23 04:04:08.507175 +00:00	1700712248
