104	42	8	0	2023-09-28 13:42:07.541445 +00:00	1695908527
105	43	1	0	2023-09-28 13:43:45.047532 +00:00	1695908625
7	5	1	0	2023-09-25 02:35:31.782296 +00:00	1695609331
193	15	8	0	2023-10-27 05:28:45.272027 +00:00	1698384525
108	45	9	0	2023-09-29 00:50:51.839506 +00:00	1695948651
109	45	8	1	2023-09-29 00:50:51.844297 +00:00	1695948651
11	6	10	0	2023-09-25 02:35:36.878351 +00:00	1695609336
12	7	12	0	2023-09-25 02:35:39.749058 +00:00	1695609339
115	44	3	0	2023-09-29 00:50:57.168545 +00:00	1695948657
116	44	4	1	2023-09-29 00:50:57.170148 +00:00	1695948657
117	44	2	2	2023-09-29 00:50:57.171618 +00:00	1695948657
118	44	17	3	2023-09-29 00:50:57.172991 +00:00	1695948657
119	46	3	0	2023-09-29 00:51:32.953651 +00:00	1695948692
29	8	9	0	2023-09-25 02:53:54.967696 +00:00	1695610434
30	8	8	1	2023-09-25 02:53:54.968870 +00:00	1695610434
31	8	14	2	2023-09-25 02:53:54.970264 +00:00	1695610434
126	49	4	0	2023-10-01 05:30:55.525830 +00:00	1696138255
127	50	7	0	2023-10-01 05:30:58.801610 +00:00	1696138258
205	13	2	0	2023-11-07 06:12:43.021173 +00:00	1699337563
206	13	3	1	2023-11-07 06:12:43.022795 +00:00	1699337563
207	13	17	2	2023-11-07 06:12:43.024244 +00:00	1699337563
208	14	7	0	2023-11-07 06:39:58.566895 +00:00	1699339198
134	51	16	0	2023-10-01 05:47:52.882578 +00:00	1696139272
135	51	21	1	2023-10-01 05:47:52.884282 +00:00	1696139272
44	2	2	0	2023-09-25 02:56:43.490874 +00:00	1695610603
45	2	3	1	2023-09-25 02:56:43.492343 +00:00	1695610603
46	9	20	0	2023-09-25 03:46:52.936346 +00:00	1695613612
47	10	18	0	2023-09-25 03:46:58.775303 +00:00	1695613618
48	11	21	0	2023-09-25 03:47:03.449297 +00:00	1695613623
213	34	2	0	2023-11-08 07:04:20.941156 +00:00	1699427060
214	35	5	0	2023-11-08 07:04:21.404931 +00:00	1699427061
52	16	1	0	2023-09-26 04:29:08.585691 +00:00	1695702548
54	18	12	0	2023-09-26 04:29:57.811022 +00:00	1695702597
63	24	11	0	2023-09-26 04:34:55.148720 +00:00	1695702895
64	26	9	0	2023-09-26 04:35:21.389395 +00:00	1695702921
65	25	13	0	2023-09-26 04:35:22.759549 +00:00	1695702922
66	27	1	0	2023-09-26 04:37:02.111616 +00:00	1695703022
69	19	8	0	2023-09-26 04:38:22.503386 +00:00	1695703102
70	19	16	1	2023-09-26 04:38:22.504926 +00:00	1695703102
71	23	1	0	2023-09-26 04:46:48.871162 +00:00	1695703608
72	4	9	0	2023-09-27 01:01:53.120729 +00:00	1695776513
73	4	8	1	2023-09-27 01:01:53.122219 +00:00	1695776513
74	4	14	2	2023-09-27 01:01:53.123963 +00:00	1695776513
75	29	1	0	2023-09-27 01:04:55.608785 +00:00	1695776695
147	52	16	0	2023-10-01 07:13:17.900997 +00:00	1696144397
148	52	21	1	2023-10-01 07:13:17.902698 +00:00	1696144397
81	20	3	0	2023-09-27 01:14:29.571128 +00:00	1695777269
82	20	2	1	2023-09-27 01:14:29.572527 +00:00	1695777269
83	20	17	2	2023-09-27 01:14:29.574134 +00:00	1695777269
84	20	4	3	2023-09-27 01:14:29.575672 +00:00	1695777269
87	3	7	0	2023-09-27 06:28:34.125305 +00:00	1695796114
88	3	5	1	2023-09-27 06:28:34.126692 +00:00	1695796114
89	3	6	2	2023-09-27 06:28:34.128021 +00:00	1695796114
164	71	2	0	2023-10-12 06:08:28.381326 +00:00	1697090908
165	71	4	1	2023-10-12 06:08:28.382845 +00:00	1697090908
166	72	7	0	2023-10-12 06:08:30.160049 +00:00	1697090910
167	73	9	0	2023-10-12 06:08:31.836330 +00:00	1697090911
168	74	1	0	2023-10-12 06:08:33.462649 +00:00	1697090913
169	75	10	0	2023-10-12 06:08:35.418512 +00:00	1697090915
181	53	7	0	2023-10-13 03:53:04.348308 +00:00	1697169184
183	54	16	0	2023-10-13 04:16:36.378782 +00:00	1697170596
184	54	8	1	2023-10-13 04:16:36.381070 +00:00	1697170596
190	17	10	0	2023-10-27 05:22:05.078152 +00:00	1698384125
215	22	9	0	2023-12-06 04:30:43.718844 +00:00	1701837043
216	22	14	1	2023-12-06 04:30:43.724596 +00:00	1701837043
217	21	6	0	2023-12-06 04:30:45.384817 +00:00	1701837045
218	21	5	1	2023-12-06 04:30:45.386532 +00:00	1701837045
